ticker,sector,lstm_RMSE,lstm_MAE,lstm_MAPE,lstm_DirAcc,epochs_trained
TCS.NS,Information Technology,46.616583453485255,32.2476148095409,1.264585890471305,44.6927374301676,12
INFY.NS,Information Technology,25.2833424739054,17.839079292335647,1.38507494213982,49.72067039106145,11
HCLTECH.NS,Information Technology,25.637121616961274,17.45403245826208,1.307725050910123,50.27932960893855,13
WIPRO.NS,Information Technology,3.6869154014863823,2.580057566030801,1.2115619844704257,47.486033519553075,12
TECHM.NS,Information Technology,27.449371040932814,20.349791690394696,1.405131782076876,44.6927374301676,23
OFSS.NS,Information Technology,171.48825555393068,127.25606066135694,1.5523902716120563,45.2513966480447,12
PERSISTENT.NS,Information Technology,120.11822981085113,87.60882538555909,1.6455398326334043,49.72067039106145,13
COFORGE.NS,Information Technology,35.246152593260526,26.37785725150319,1.8151058540740852,51.955307262569825,16
MPHASIS.NS,Information Technology,43.55211095891157,33.27539936630867,1.4012169007734772,53.63128491620112,11
LTTS.NS,Information Technology,90.28920387880353,64.98644153598944,1.7987871362242562,47.486033519553075,12
HDFCBANK.NS,Banking & Financial Services,11.696971567602585,8.629061830633745,1.0384321905061003,46.927374301675975,11
ICICIBANK.NS,Banking & Financial Services,17.200754616402552,13.53049594940202,1.0168532327946136,45.2513966480447,12
SBIN.NS,Banking & Financial Services,16.616084716041044,11.388404365498454,1.1079159654494308,45.2513966480447,12
BAJFINANCE.NS,Banking & Financial Services,18.160206242765838,13.258282495044687,1.4064578962707468,48.60335195530726,11
AXISBANK.NS,Banking & Financial Services,20.218514472204294,14.469851965225324,1.1244662631328532,50.83798882681564,22
KOTAKBANK.NS,Banking & Financial Services,5.261600647436545,3.900240948070929,0.9856242490061266,52.513966480446925,11
BAJAJFINSV.NS,Banking & Financial Services,29.47874432423347,22.18860230753225,1.1815829817800458,51.39664804469274,11
SHRIRAMFIN.NS,Banking & Financial Services,23.517940574473574,16.943252674750912,1.7713190013166842,44.134078212290504,13
SBILIFE.NS,Banking & Financial Services,26.15016052023772,19.728613173309178,1.0307900133391261,48.60335195530726,11
JIOFIN.NS,Banking & Financial Services,4.885318051267319,3.6919309230539614,1.5462388907968416,48.51485148514851,12
RELIANCE.NS,Energy,18.673804660993216,13.796756734465202,0.9867421834211973,51.39664804469274,11
ADANIPOWER.NS,Energy,4.026259192257508,2.8844694435295057,1.6097068097760896,45.81005586592179,12
NTPC.NS,Energy,4.662952423001188,3.4964556093359827,0.966605334801268,51.39664804469274,12
ONGC.NS,Energy,4.355776421946958,3.0016046115245287,1.1504593608782807,51.955307262569825,20
POWERGRID.NS,Energy,4.4508403929691545,3.2909245844308663,1.1442472638798156,56.424581005586596,25
COALINDIA.NS,Energy,6.810564470696362,4.757952859873955,1.1022510508600623,50.27932960893855,12
ADANIGREEN.NS,Energy,30.03724070015577,21.418677594143023,1.92200483396505,50.27932960893855,11
IOC.NS,Energy,2.739838006553014,2.0273774235412154,1.3338249764221857,44.134078212290504,12
ADANIENSOL.NS,Energy,29.6130841439506,21.454672351070634,1.8751743872839244,48.04469273743017,11
BPCL.NS,Energy,6.5475806484168295,4.844236045634542,1.4863043250982075,49.72067039106145,11
HINDUNILVR.NS,FMCG,30.13489787383394,22.420422956299188,1.0011520100196605,45.2513966480447,11
ITC.NS,FMCG,4.584930129955848,2.9041318531998215,0.923845442493023,46.36871508379888,11
NESTLEIND.NS,FMCG,17.540811551524435,12.939811322336043,0.977187168524825,50.83798882681564,20
VBL.NS,FMCG,9.155889173101409,6.873786913798953,1.4684636827702724,48.04469273743017,12
BRITANNIA.NS,FMCG,73.31379232632578,56.4919328268157,0.9895283055942163,47.486033519553075,15
MARICO.NS,FMCG,8.997729330765923,7.066112014693282,0.9120085301875342,48.60335195530726,11
GODREJCP.NS,FMCG,17.783225231285073,13.010480489623955,1.1878075518666744,48.04469273743017,12
TATACONSUM.NS,FMCG,16.959541627576918,12.777308600015477,1.125472470264,46.36871508379888,12
DABUR.NS,FMCG,7.194069417056903,5.337763115236387,1.1586175866061454,50.27932960893855,11
COLPAL.NS,FMCG,31.657967166696366,22.592190175664772,1.0983294247464968,46.927374301675975,11
