ticker,sector,naive_RMSE,naive_MAE,naive_MAPE,naive_DirAcc,linreg_RMSE,linreg_MAE,linreg_MAPE,linreg_DirAcc,arima_RMSE,arima_MAE,arima_MAPE,arima_DirAcc,arima_order,lstm_RMSE,lstm_MAE,lstm_MAPE,lstm_DirAcc,epochs_trained
TCS.NS,Information Technology,45.89545393399953,31.690997075768156,1.224666163515005,2.23463687150838,50.49867429190736,36.4790052365836,1.4168534892853475,53.072625698324025,46.100480987791855,32.03561835932514,1.2373878647292365,45.2513966480447,"(5, 1, 0)",234.9688740613632,174.66397589145427,7.553625347980344,47.486033519553075,21
INFY.NS,Information Technology,25.315298419382028,17.726756857760126,1.36547454635403,2.23463687150838,26.915619780669143,19.2663460385821,1.4925272662610385,47.486033519553075,25.41583663646632,17.890945446739458,1.3776194806158553,48.60335195530726,"(5, 1, 0)",42.52374114613666,32.358992763071754,2.650779720144638,40.78212290502793,28
HCLTECH.NS,Information Technology,25.331389262551156,17.179581796656773,1.2630994166096956,2.23463687150838,28.557682117029955,20.692303310265864,1.5420202214143717,45.81005586592179,25.544591943280743,17.408695919738573,1.2813113844202346,42.45810055865922,"(5, 1, 0)",39.74700836476888,29.421444003142458,2.224683547826508,48.04469273743017,29
WIPRO.NS,Information Technology,3.6487600860039033,2.504267005281074,1.1697961138503326,2.23463687150838,3.783983346702225,2.785641328881756,1.316236579953853,52.513966480446925,3.6476569151780422,2.5051496743291577,1.1712087731444545,51.955307262569825,"(5, 1, 0)",4.968092322934146,3.8334139179251046,1.862709689731612,49.162011173184354,47
TECHM.NS,Information Technology,26.89257695546796,19.61536462879714,1.358378766163458,3.35195530726257,28.93632457727457,21.539612223989085,1.4928077441996122,46.36871508379888,27.032954225212233,19.857274271713013,1.3745247611040288,48.04469273743017,"(5, 1, 0)",35.46873304988134,25.97367304796613,1.7815342793169704,56.424581005586596,21
OFSS.NS,Information Technology,169.3932859800573,124.81147433659218,1.5299068579785424,2.23463687150838,180.15326483413116,134.1598392862949,1.6376319389123817,47.486033519553075,168.28648103563955,125.19247293260756,1.5374392571541744,50.83798882681564,"(5, 1, 0)",341.6011896254835,261.2325146211592,3.20489421843376,50.27932960893855,29
PERSISTENT.NS,Information Technology,118.8867040538638,85.75307699022346,1.60575604287101,2.793296089385475,137.74450657335356,103.102939390333,1.9594251742571769,48.04469273743017,121.15432785981092,87.32735204406015,1.636278897018064,50.83798882681564,"(5, 1, 0)",241.5520516637663,197.37330329085196,3.750948000568746,49.162011173184354,33
COFORGE.NS,Information Technology,35.88295079086125,26.788651279896996,1.8380499950449296,2.23463687150838,41.325329985484466,32.038761823652166,2.202227004288446,50.27932960893855,36.124340783108416,27.169078489978276,1.860044140539372,46.36871508379888,"(5, 1, 0)",80.71709551016231,67.32351360640712,4.415635816432842,51.39664804469274,25
MPHASIS.NS,Information Technology,43.99954647359628,33.725120842789806,1.4135465011250483,2.23463687150838,45.41996953010845,35.70564019399336,1.497846278224249,51.39664804469274,43.90737916617736,33.71886556749358,1.4147938358932224,54.18994413407822,"(5, 1, 0)",50.468348594788274,40.1497802734375,1.690945110178301,53.63128491620112,25
LTTS.NS,Information Technology,88.1202722816003,62.4234284981669,1.7240592531024772,2.793296089385475,93.84628234383732,67.81193300785279,1.8863246078980664,56.98324022346368,89.58658260697595,63.101479080801,1.7421573883633197,49.72067039106145,"(5, 1, 0)",105.60949599661991,81.35430669518156,2.2557915228392136,48.60335195530726,47
