ticker,sector,horizon,h_days,early_stopping,epochs,always_up_acc,naive_RMSE,naive_MAPE,naive_DirAcc,linreg_RMSE,linreg_MAPE,linreg_DirAcc,lstm_RMSE,lstm_MAPE,lstm_DirAcc
TCS.NS,Information Technology,next_day,1,True,12,45.8,45.89545393399953,1.224666163515005,2.2346368715083798,46.663027369179446,1.2450164956903076,46.36871508379888,46.29651391588508,1.2447289634781324,45.81005586592179
INFY.NS,Information Technology,next_day,1,True,12,44.1,25.315298419382028,1.3654745463540299,2.2346368715083798,25.52211402394696,1.3803919347357232,49.72067039106145,25.475180498581338,1.3849864742228657,45.2513966480447
HCLTECH.NS,Information Technology,next_day,1,True,15,48.0,25.331389262551156,1.2630994166096956,2.2346368715083798,25.547342640332396,1.276628864002812,44.6927374301676,25.343036656620413,1.2665394996123243,52.513966480446925
WIPRO.NS,Information Technology,next_day,1,True,11,46.9,3.6487600860039033,1.1697961138503326,2.2346368715083798,3.67449259056628,1.1875848934011894,43.575418994413404,3.667749004252271,1.1994526334653377,42.45810055865922
TECHM.NS,Information Technology,next_day,1,True,24,50.3,26.89257695546796,1.3583787661634579,3.35195530726257,27.14228588945349,1.3836614767226516,46.36871508379888,27.144281008570708,1.3786272503637194,45.81005586592179
OFSS.NS,Information Technology,next_day,1,True,11,49.2,169.3932859800573,1.5299068579785424,2.2346368715083798,167.42615560364194,1.5198298695318875,51.39664804469274,169.41302756910997,1.5366569614723309,46.36871508379888
PERSISTENT.NS,Information Technology,next_day,1,True,12,49.2,118.88670405386381,1.60575604287101,2.793296089385475,119.12122303611707,1.6098692751783636,53.63128491620112,119.08681562844465,1.606798033818368,53.072625698324025
COFORGE.NS,Information Technology,next_day,1,True,11,47.5,35.88295079086125,1.8380499950449294,2.2346368715083798,36.628790517576654,1.9007186305041404,46.36871508379888,35.948706154762505,1.8539900111188188,50.83798882681564
MPHASIS.NS,Information Technology,next_day,1,True,12,51.4,43.99954647359628,1.4135465011250483,2.2346368715083798,43.74103479102993,1.4012838598992434,54.18994413407822,43.91751263630804,1.4127925756543263,50.83798882681564
LTTS.NS,Information Technology,next_day,1,True,13,46.4,88.1202722816003,1.7240592531024772,2.793296089385475,88.45366817538036,1.739595870846231,49.162011173184354,88.84063234008113,1.7578221778878647,41.899441340782126
HDFCBANK.NS,Banking & Financial Services,next_day,1,True,16,41.3,11.501855547662535,1.0085774375275178,2.2346368715083798,11.47715487510325,1.0081135606470175,56.98324022346368,11.477055079193923,1.0067900126383258,55.3072625698324
ICICIBANK.NS,Banking & Financial Services,next_day,1,True,13,47.5,17.017733815942023,0.9923579277253349,2.2346368715083798,17.136593386688126,1.0126884278366572,44.134078212290504,17.099239516123824,1.0124151141881228,45.2513966480447
SBIN.NS,Banking & Financial Services,next_day,1,True,15,52.0,16.35985269834755,1.0771722276106317,2.793296089385475,16.93415817705312,1.134805935937915,48.04469273743017,16.524452199868474,1.1022123966621271,48.04469273743017
BAJFINANCE.NS,Banking & Financial Services,next_day,1,True,11,47.5,17.947413929437857,1.382974418790446,2.793296089385475,21.007192198002294,1.7233368495423416,49.72067039106145,17.811404936759615,1.3675657006889503,55.865921787709496
AXISBANK.NS,Banking & Financial Services,next_day,1,True,11,50.3,20.110702615210457,1.1096780579855072,2.2346368715083798,19.824905205341594,1.1009221425029558,53.072625698324025,20.38526182500869,1.136028940841178,47.486033519553075
